Date,Stock
2022-01-13,EA
2022-01-13,GILD
2022-01-13,BIIB
2022-01-13,KDP
2022-01-13,CEG
2022-01-13,GFS
2022-01-13,FISV
2022-01-13,AZN
2022-01-13,INTC
2022-01-13,ADP
2022-01-13,EBAY
2022-01-13,MAR
2022-01-13,RIVN
2022-01-13,CSX
2022-01-13,SIRI
2022-01-13,XEL
2022-01-13,AAPL
2022-01-13,AEP
2022-01-13,EXC
2022-01-13,MRNA
2022-01-13,HON
2022-01-13,MDLZ
2022-01-13,CHTR
2022-01-13,NFLX
2022-01-13,ORLY
2022-01-13,VRTX
2022-01-13,JD
2022-01-13,PCAR
2022-01-13,KHC
2022-01-13,PEP
2022-02-13,EA
2022-02-13,GILD
2022-02-13,AMGN
2022-02-13,KDP
2022-02-13,CEG
2022-02-13,TMUS
2022-02-13,GFS
2022-02-13,BKR
2022-02-13,FISV
2022-02-13,AZN
2022-02-13,EBAY
2022-02-13,MAR
2022-02-13,RIVN
2022-02-13,CSX
2022-02-13,SIRI
2022-02-13,SBUX
2022-02-13,XEL
2022-02-13,AAPL
2022-02-13,AEP
2022-02-13,EXC
2022-02-13,VRSK
2022-02-13,MDLZ
2022-02-13,REGN
2022-02-13,PANW
2022-02-13,CHTR
2022-02-13,ORLY
2022-02-13,VRTX
2022-02-13,PCAR
2022-02-13,KHC
2022-02-13,PEP
2022-03-16,EA
2022-03-16,GILD
2022-03-16,AMGN
2022-03-16,BIIB
2022-03-16,KDP
2022-03-16,CEG
2022-03-16,TMUS
2022-03-16,BKR
2022-03-16,FISV
2022-03-16,AZN
2022-03-16,INTC
2022-03-16,ADP
2022-03-16,EBAY
2022-03-16,SIRI
2022-03-16,XEL
2022-03-16,AEP
2022-03-16,EXC
2022-03-16,VRSK
2022-03-16,MDLZ
2022-03-16,REGN
2022-03-16,FAST
2022-03-16,ZM
2022-03-16,CHTR
2022-03-16,ORLY
2022-03-16,VRTX
2022-03-16,FANG
2022-03-16,PCAR
2022-03-16,KHC
2022-03-16,COST
2022-03-16,PEP
2022-04-16,EA
2022-04-16,CMCSA
2022-04-16,GILD
2022-04-16,AMGN
2022-04-16,BIIB
2022-04-16,DLTR
2022-04-16,KDP
2022-04-16,CEG
2022-04-16,TMUS
2022-04-16,BKR
2022-04-16,FISV
2022-04-16,AZN
2022-04-16,EBAY
2022-04-16,SIRI
2022-04-16,XEL
2022-04-16,AEP
2022-04-16,EXC
2022-04-16,VRSK
2022-04-16,WBA
2022-04-16,HON
2022-04-16,MDLZ
2022-04-16,REGN
2022-04-16,PANW
2022-04-16,CHTR
2022-04-16,ORLY
2022-04-16,VRTX
2022-04-16,PCAR
2022-04-16,KHC
2022-04-16,COST
2022-04-16,PEP
2022-05-17,EA
2022-05-17,CMCSA
2022-05-17,GILD
2022-05-17,AMGN
2022-05-17,DLTR
2022-05-17,KDP
2022-05-17,CEG
2022-05-17,BKNG
2022-05-17,BKR
2022-05-17,FISV
2022-05-17,AZN
2022-05-17,EBAY
2022-05-17,CSX
2022-05-17,SIRI
2022-05-17,XEL
2022-05-17,AEP
2022-05-17,EXC
2022-05-17,VRSK
2022-05-17,WBA
2022-05-17,HON
2022-05-17,MDLZ
2022-05-17,REGN
2022-05-17,FAST
2022-05-17,CHTR
2022-05-17,ORLY
2022-05-17,VRTX
2022-05-17,PCAR
2022-05-17,KHC
2022-05-17,CSCO
2022-05-17,PEP
2022-06-17,EA
2022-06-17,CMCSA
2022-06-17,GILD
2022-06-17,AMGN
2022-06-17,BIIB
2022-06-17,TXN
2022-06-17,KDP
2022-06-17,TMUS
2022-06-17,BKR
2022-06-17,FISV
2022-06-17,AZN
2022-06-17,CSX
2022-06-17,SIRI
2022-06-17,MNST
2022-06-17,XEL
2022-06-17,AEP
2022-06-17,EXC
2022-06-17,VRSK
2022-06-17,WBA
2022-06-17,HON
2022-06-17,MDLZ
2022-06-17,REGN
2022-06-17,FAST
2022-06-17,CHTR
2022-06-17,ORLY
2022-06-17,VRTX
2022-06-17,PCAR
2022-06-17,KHC
2022-06-17,CSCO
2022-06-17,PEP
2022-07-18,EA
2022-07-18,CMCSA
2022-07-18,GILD
2022-07-18,AMGN
2022-07-18,DLTR
2022-07-18,TXN
2022-07-18,KDP
2022-07-18,TMUS
2022-07-18,BKR
2022-07-18,FISV
2022-07-18,AZN
2022-07-18,CSX
2022-07-18,SIRI
2022-07-18,MNST
2022-07-18,XEL
2022-07-18,AEP
2022-07-18,EXC
2022-07-18,VRSK
2022-07-18,HON
2022-07-18,MDLZ
2022-07-18,REGN
2022-07-18,FAST
2022-07-18,CHTR
2022-07-18,ORLY
2022-07-18,VRTX
2022-07-18,FANG
2022-07-18,PCAR
2022-07-18,KHC
2022-07-18,CSCO
2022-07-18,PEP
2022-08-18,EA
2022-08-18,CMCSA
2022-08-18,GILD
2022-08-18,AMGN
2022-08-18,DLTR
2022-08-18,TXN
2022-08-18,KDP
2022-08-18,BKR
2022-08-18,FISV
2022-08-18,AZN
2022-08-18,CSX
2022-08-18,SIRI
2022-08-18,MNST
2022-08-18,XEL
2022-08-18,AEP
2022-08-18,EXC
2022-08-18,VRSK
2022-08-18,WBA
2022-08-18,HON
2022-08-18,MDLZ
2022-08-18,REGN
2022-08-18,FAST
2022-08-18,CHTR
2022-08-18,ORLY
2022-08-18,VRTX
2022-08-18,FANG
2022-08-18,PCAR
2022-08-18,KHC
2022-08-18,CSCO
2022-08-18,PEP
2022-09-18,EA
2022-09-18,CMCSA
2022-09-18,GILD
2022-09-18,AMGN
2022-09-18,DLTR
2022-09-18,KDP
2022-09-18,BKR
2022-09-18,FISV
2022-09-18,AZN
2022-09-18,CSX
2022-09-18,SIRI
2022-09-18,MNST
2022-09-18,XEL
2022-09-18,AEP
2022-09-18,EXC
2022-09-18,VRSK
2022-09-18,WBA
2022-09-18,HON
2022-09-18,MDLZ
2022-09-18,REGN
2022-09-18,FAST
2022-09-18,CHTR
2022-09-18,ORLY
2022-09-18,VRTX
2022-09-18,FANG
2022-09-18,JD
2022-09-18,PCAR
2022-09-18,KHC
2022-09-18,CSCO
2022-09-18,PEP
2022-10-19,EA
2022-10-19,CMCSA
2022-10-19,GILD
2022-10-19,AMGN
2022-10-19,DLTR
2022-10-19,KDP
2022-10-19,TMUS
2022-10-19,FISV
2022-10-19,AZN
2022-10-19,PAYX
2022-10-19,ADP
2022-10-19,CSX
2022-10-19,SIRI
2022-10-19,MNST
2022-10-19,XEL
2022-10-19,AEP
2022-10-19,EXC
2022-10-19,VRSK
2022-10-19,HON
2022-10-19,MDLZ
2022-10-19,REGN
2022-10-19,CHTR
2022-10-19,ORLY
2022-10-19,VRTX
2022-10-19,FANG
2022-10-19,JD
2022-10-19,PCAR
2022-10-19,KHC
2022-10-19,CSCO
2022-10-19,PEP
2022-11-19,EA
2022-11-19,CMCSA
2022-11-19,GILD
2022-11-19,AMGN
2022-11-19,DLTR
2022-11-19,KDP
2022-11-19,TMUS
2022-11-19,FISV
2022-11-19,AZN
2022-11-19,CSX
2022-11-19,SIRI
2022-11-19,MNST
2022-11-19,XEL
2022-11-19,AEP
2022-11-19,EXC
2022-11-19,VRSK
2022-11-19,CTSH
2022-11-19,WBA
2022-11-19,HON
2022-11-19,MDLZ
2022-11-19,REGN
2022-11-19,ORLY
2022-11-19,VRTX
2022-11-19,FANG
2022-11-19,JD
2022-11-19,PCAR
2022-11-19,KHC
2022-11-19,CSCO
2022-11-19,COST
2022-11-19,PEP
2022-12-20,EA
2022-12-20,CMCSA
2022-12-20,GILD
2022-12-20,AMGN
2022-12-20,DLTR
2022-12-20,KDP
2022-12-20,TMUS
2022-12-20,CTAS
2022-12-20,FISV
2022-12-20,AZN
2022-12-20,CSX
2022-12-20,SIRI
2022-12-20,MNST
2022-12-20,XEL
2022-12-20,AEP
2022-12-20,EXC
2022-12-20,VRSK
2022-12-20,WBA
2022-12-20,HON
2022-12-20,MDLZ
2022-12-20,REGN
2022-12-20,ORLY
2022-12-20,VRTX
2022-12-20,FANG
2022-12-20,JD
2022-12-20,PCAR
2022-12-20,KHC
2022-12-20,CSCO
2022-12-20,COST
2022-12-20,PEP
